"2022-12-01", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-12>`__"
"2022-11-03", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-11>`__"
"2022-10-06", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-10>`__"
"2022-09-01", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-09>`__"
"2022-08-04", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-08>`__"
"2022-07-07", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-07>`__"
"2022-06-02", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-06>`__"
"2022-05-05", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-05>`__"
"2022-04-07", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2022-04>`__"
"2022-03-03", "alle", "Backup Workshop Fortsetzung", "`Anmeldung <https://trolug.pads.ccc.de/2022-03>`__"
"2022-02-03", "alle", "Backup Workshop auf Server", "`Anmeldung <https://trolug.pads.ccc.de/2022-02>`__"
"2022-01-06", "alle", "Btrfs Workshop auf Server", "`Anmeldung <https://trolug.pads.ccc.de/2022-01>`__"

